TIC ID,Notes,Planet Radius (Earth Radii),Period (days),Transit Duration (Hours),Signal Detection Efficiency (SDE),Classification,Observed Sectors [String],N Sectors Observed,dist,ra,dec,eclat,eclong,Teff,logg,M_star,R_star,rho,Tmag,Vmag,Gmag,rmag,imag,Zmag,Hmag,Kmag
456338001,,,,,,,Sector 21,1.0,19.5957,135.216990567222,48.423538925137,30.0260195370345,122.958636633073,3326.0,5.02573,0.177,0.208,17.372,11.6453,14.48,12.9126,,,,9.551,9.32
11568200,,,,,,,Sector  3,1.0,70.1124,19.8454631420032,-27.9175614501042,-33.2908516089583,6.11085835748693,3411.0,4.81149,0.14,0.182,5.67139,12.7481,16.66,13.9669,,,,10.659,10.417
55645551,,,,,,,Sector 20,1.0,37.8968,100.664868323661,64.0435986339483,40.8316595295235,96.1454760378086,3378.0,4.79195,0.383,0.37,5.15343,11.3913,13.797,12.6247,,,,9.166,8.933
92007090,,,,,,,Sector 21,1.0,12.3017,145.258554108224,22.0245396433176,7.69611532633983,140.23629861996,3134.0,5.09714,0.15,0.189,24.9653,11.3332,14.243,12.7162,13.8371,12.1087,13.3102,9.088,8.813
332571654,,,,,,,Sector 18,1.0,41.9641,19.8595054316266,54.8439523682923,42.2457771352365,42.9814052774058,3138.0,4.90828,0.234,0.25,9.33933,12.7488,16.26,14.1399,,,,10.348,10.068
141154638,,,,,,,"Sector  1, Sector  2, Sector  4, Sector  5, Sector  6, Sector  7, Sector  8, Sector  9, Sector 10, Sector 11, Sector 12",11.0,25.8992,80.9599112873409,-76.9770227319633,-79.2365756266138,280.92889328705,2877.0,5.18065,0.134,0.178,37.5286,14.0025,17.61,15.5712,,,,11.356,11.007
224298134,,,,,,,"Sector 15, Sector 21, Sector 22",3.0,37.066,185.339398524995,57.75246710573,52.722540630658,151.299397820593,3577.0,4.75448,,0.48,4.31188,10.8515,12.816,11.9588,12.481,11.4202,11.2665,8.83,8.61
415508270,,,,,,,Sector  5,1.0,10.1853,76.0614925100661,11.0566288932233,-11.7091938173144,76.0288491847292,3168.0,5.08381,0.154,0.191,23.3566,10.8684,13.748,12.2321,,,,8.609,8.311
129764950,,,,,,,Sector  3,1.0,30.3613,35.5762239352716,-36.8643300596265,-47.3552521924539,16.1485197229884,2945.0,5.00634,0.161,0.196,15.7041,13.0447,16.25,14.5588,,,,10.47,10.128
452866790,,,,,,,Sector  7,1.0,27.3644,120.595345350137,3.33880340897097,-16.7612513041332,122.049553840958,3329.0,4.86953,,0.354528993368149,7.61742,11.1972,13.74,12.465,13.2912,11.9009,11.4704,9.063,8.829
202378759,,,,,,,Sector 22,1.0,20.2092,179.996043244407,21.0841234694735,19.2704691078599,171.277351166883,2901.0,5.20418,0.093,0.15,42.0165,13.3419,17.18,14.8797,16.2587,14.1519,13.0782,10.921,10.641
155113423,,,,,,,Sector 16,1.0,12.9083,345.71870377214,43.6376619972165,44.7621075195925,8.97001230251996,3178.0,5.03116,0.177,0.208,17.8669,11.0472,13.894,12.4081,,,,8.783,8.453
402980664,,,,,,,"Sector 18, Sector 19, Sector 25, Sector 26",4.0,21.3205,16.7277996187861,80.4595671466987,62.352142049511,69.9973487454437,3160.0,4.89898,0.211,0.233,8.89044,11.1066,13.943,12.4799,,,,8.773,8.523
446098056,,,,,,,Sector 19,1.0,16.0338,74.0148023149672,43.2321245302669,20.4767129468262,77.6327447052394,3249.0,4.97402,0.196,0.222,13.2465,10.9844,14.03,12.2983,,,,8.772,8.497
