TIC ID,Notes,Planet Radius (Earth Radii),Period (days),Transit Duration (Hours),Signal Detection Efficiency (SDE),Classification,Observed Sectors [String],N Sectors Observed,dist,ra,dec,eclat,eclong,Teff,logg,M_star,R_star,rho,Tmag,Vmag,Gmag,rmag,imag,Zmag,Hmag,Kmag
14672015,,,,,,,Sector  7,1.0,45.6091,111.623488357599,14.1924227507378,-7.6747513608238,111.13012634949,3303.0,4.83408,0.298,0.299,6.35005,12.1695,14.744,13.4565,14.1425,13.0653,11.9851,9.962,9.658
8348911,,,,,,,"Sector 24, Sector 25",2.0,51.6004,245.279799945004,31.5768782533437,52.0231079134738,234.621385472232,3244.0,4.97167,,0.261162,13.0827,13.5042,16.54,14.8319,15.5441,14.072,13.2908,11.283,11.017
450341297,,,,,,,Sector 23,1.0,14.9741,202.629430667742,19.1594598401351,26.4675520781859,193.101312519327,3126.0,5.0944,0.143,0.184,24.6267,11.8244,15.21,13.2192,14.2514,12.6235,14.3487,9.543,9.221
138775756,,,,,,,Sector  5,1.0,19.2065,68.6888724256452,-0.446250350081501,-22.1920206499399,66.890107540845,3240.0,4.91617,0.296,0.298,9.73871,10.9648,13.668,12.2847,,,,8.751,8.434
285036664,,,,,,,"Sector 17, Sector 18, Sector 24",3.0,50.0297,12.1028248494599,60.4084760123337,49.1678874213957,42.3997278584279,3281.0,4.75806,0.389,0.375,4.38466,11.8173,14.412,13.1184,,,,9.517,9.287
157835109,,,,,,,Sector 21,1.0,27.1659,149.828306928717,43.8403916787366,29.4260026655325,135.71832915537,3303.0,4.87526,0.3,0.302,7.84842,11.3213,13.891,12.6068,,,,9.126,8.859
388566010,,,,,,,"Sector 18, Sector 19, Sector 24, Sector 25, Sector 26",5.0,25.6815,359.467964290047,78.612774392935,64.177914422956,63.0469333910832,3449.0,4.94629,0.209,0.231,11.4316,11.5996,13.868,12.7844,,,,9.542,9.304
15231995,,,,,,,Sector 26,1.0,23.8081,279.951800480951,16.813773693002,39.8242912655456,282.439140935397,2966.0,5.13817,0.134,0.178,30.5554,13.3376,17.2,14.8319,,,,10.83,10.528
63585149,,,,,,,Sector 18,1.0,32.6777,32.5200395719668,35.4304148439831,20.9549374911331,42.6320663370753,3463.0,4.88585,0.304,0.304,8.29632,11.5431,13.737,12.722,,,,9.575,9.345
250559611,,,,,,,Sector 18,1.0,14.3083,31.7660655640889,49.6454073323196,34.3031869040323,48.2073638187217,3407.0,4.8844,0.385,0.372,8.2331,9.87806,12.225,11.0648,,,,7.768,7.54
9069250,,,,,,,"Sector 23, Sector 24",2.0,27.2739,222.823217299762,33.6295554196314,47.159778787704,206.084509740955,2958.0,5.11756,0.095,0.151,27.621,13.5647,17.03,15.0648,16.2232,14.5942,13.2604,10.999,10.682
252417669,,,,,,,Sector 19,1.0,26.4377,76.4192796297133,56.4777564681989,33.4592812725342,81.0577543707518,3261.0,5.03603,0.157,0.194,18.3214,12.4165,15.49,13.7287,,,,10.329,10.045
286945883,,,,,,,"Sector 15, Sector 16, Sector 22, Sector 23",4.0,23.1326,204.977342665026,53.8145820597897,57.1059571104422,170.212740450338,3147.0,5.0971,0.144,0.184,24.9598,12.7275,16.03,14.1075,14.9796,13.8565,12.5057,10.451,10.184
334415465,,,,,,,Sector  7,1.0,6.87284,122.989831564958,8.77305087070981,-10.9413119630198,123.235584791545,3185.0,5.11334,0.138,0.18,27.0517,10.0618,13.24,11.3757,12.3771,10.7502,10.1879,7.927,7.66
347363449,,,,,,,Sector 23,1.0,41.9046,191.500940785841,18.5827390400681,21.5647878887137,182.874179879154,3223.0,4.92945,0.2,0.225,10.4515,12.8082,15.586,14.1448,14.9024,13.5916,12.5894,10.529,10.234
190953300,,,,,,,Sector 17,1.0,27.7213,6.55571933072638,46.4481906942469,39.3203678602173,27.7714158772153,3341.0,4.94629,0.185,0.214,11.4319,11.8746,14.273,13.1352,,,,9.761,9.47
444042651,,,,,,,Sector  8,1.0,25.5182,134.981635625376,6.16813853092058,-10.4368558956441,135.611332968704,3202.0,4.9311,0.22,0.24,10.5434,11.7824,14.651,13.1365,13.9703,12.8116,11.5336,9.461,9.17
143022742,,,,,,,Sector  4,1.0,70.7878,54.4669196099915,-30.0571774164359,-47.7064779138074,41.6249716723763,3414.0,4.77364,,0.458860993385315,4.71948,12.531,15.26,13.7476,,,,10.429,10.154
331198757,,,,,,,"Sector 14, Sector 15",2.0,83.1555,310.621138439278,23.1704055002639,39.6853030928673,321.05639703826,3600.0,4.74951,0.127,0.173,4.21326,12.5658,16.73,13.6661,,,,10.538,10.329
389902064,,,,,,,"Sector 18, Sector 24, Sector 25",3.0,23.7007,23.5476086303834,64.9933615457618,49.8446350190136,53.0628789689636,2985.0,5.13172,0.114,0.164,29.6087,13.1665,17.08,14.6485,,,,10.752,10.474
416781089,,,,,,,"Sector 11, Sector 12",2.0,29.4848,223.708521925718,-58.1517994876022,-39.3694817986037,240.435631060693,3235.0,4.96834,0.21,0.232,12.8535,12.3426,15.103,13.6733,,,,10.063,9.776
335797473,,,,,,,"Sector 16, Sector 17, Sector 18, Sector 24",4.0,28.6288,333.178845045728,64.3533206364291,64.7929214439372,24.9142627980965,3099.0,5.05706,0.144,0.185,20.4044,13.0317,16.63,14.441,,,,10.671,10.368
372207328,,,,,,,"Sector 16, Sector 17, Sector 18, Sector 24",4.0,20.5488,330.838563559757,67.4999525397138,67.1931227419661,30.4448867403045,3358.0,4.93,0.226,0.244,10.4822,10.97,13.386,12.214,,,,8.885,8.691
262722802,,,,,,,Sector  8,1.0,23.9223,138.346038235035,3.67849539421259,-11.8275239735014,139.623763974891,3292.0,4.95945,0.19,0.217,12.2607,11.7253,14.308,13.0137,13.8661,12.4617,11.5536,9.541,9.253
138819293,,,,,,,Sector 22,1.0,9.75321,175.546222446621,26.7065716919965,22.6277382225292,164.773699273813,3456.0,4.80352,,0.425431996583939,5.45283,8.40346,10.67,9.57148,10.0822,8.92183,8.6612,6.319,6.073
420001446,,,,,,,Sector  4,1.0,18.7197,35.1927219415129,2.97710635227711,-10.4448902423413,33.9150004058222,3129.0,5.02317,0.182,0.212,17.1431,11.8333,14.807,13.2262,14.2975,12.6004,11.9622,9.564,9.202
160264738,,,,,,,Sector  6,1.0,25.0586,88.4807667004642,-22.7827406139266,-46.2113471575096,87.9756881817185,2833.0,5.1476,0.108,0.16,31.9911,13.7596,17.81,15.3891,,,,11.047,10.704
8527476,,,,,,,Sector 26,1.0,17.3664,279.382545767326,20.5116759517924,43.5556068850882,282.16291443201,2877.0,5.18203,0.095,0.151,37.7783,13.0854,17.01,14.6416,,,,10.429,10.149
246807853,,,,,,,Sector 13,1.0,22.2415,284.129631668317,-46.5140819123756,-23.5915777173467,280.562998083205,3293.0,4.96179,0.16,0.196,12.4139,11.5796,14.176,12.863,,,,9.387,9.113
281987170,,,,,,,Sector  6,1.0,28.5511,88.8786244096194,1.40325287324112,-22.0313211737872,88.790644583938,2978.0,5.11269,0.153,0.191,26.9651,13.6233,17.14,15.12,16.3142,14.3941,13.3693,11.106,10.748
232529313,,,,,,,Sector 23,1.0,28.3726,215.152002773868,31.5012222279357,42.4283912339614,199.183776075764,3094.0,4.99646,0.279,0.284,14.9115,12.6489,15.96,14.0705,15.0173,13.6293,12.3869,10.178,9.907
355784581,,,,,,,Sector 20,1.0,24.0894,118.800321765834,52.9650027408126,31.4967114373809,109.895212650772,3247.0,4.933,0.259,0.269,10.6509,11.647,14.237,12.9621,13.8434,12.3883,12.9453,9.353,9.06
357466066,,,,,,,"Sector 11, Sector 12, Sector 13",3.0,16.14401,185.140708178303,-82.4327190150597,-64.7960939091958,252.06101926741,3271.0,4.83947,0.384,0.371,6.526,9.34124,11.954,10.6333,,,,7.135,6.842
336777483,,,,,,,Sector 17,1.0,18.2693,14.1598878322495,17.4597096475345,10.5126275107767,19.8245837625677,3231.0,4.92226,0.318,0.316,10.0591,11.0214,13.732,12.3479,13.2872,11.7393,11.1443,8.655,8.374
368727761,,,,,,,"Sector 18, Sector 24, Sector 25",3.0,41.5263,12.8696939170533,67.2654192319119,54.2877006044444,49.8011709386889,3385.0,4.89503,0.263,0.272,8.70723,12.3102,14.77,13.5433,,,,10.212,9.939
69692170,,,,,,,Sector 14,1.0,17.783,294.682239181267,33.1932536014135,53.5859625269896,306.06311797746,3256.0,4.9824,0.2,0.225,13.8464,11.2732,13.98,12.5845,,,,9.028,8.786
192690221,,,,,,,Sector 18,1.0,27.154,47.8769881425613,43.1907914675461,24.3839527500218,57.5269336380075,3189.0,4.97182,0.207,0.23,13.0925,12.2495,15.17,13.6085,15.8695,16.6615,14.2041,9.931,9.624
141676416,,,,,,,"Sector 19, Sector 20, Sector 26",3.0,26.8362,111.951335016866,80.3358470513499,57.4079479475933,96.6902278556407,3189.0,5.02056,0.176,0.207,16.9123,12.4837,15.259,13.842,,,,10.247,9.965
366805125,,,,,,,Sector 23,1.0,19.5018,198.524327651262,3.89968106203145,10.8642005132934,195.579605823307,3331.0,4.93159,0.265,0.274,10.5708,11.0439,13.532,12.3087,13.1653,11.7471,12.5085,8.912,8.59
230055402,,,,,,,Sector 22,1.0,24.6727,170.372952208188,25.5244618075155,19.5914127829423,160.797923508567,3323.0,4.96742,0.298,0.299,12.791,11.7534,14.67,13.0193,,,,9.642,9.382
355264835,,,,,,,Sector 14,1.0,48.5424,289.597256898905,18.6571799306431,40.4323513495208,294.676141032897,3391.0,4.85385,0.216,0.237,7.02411,12.2548,14.671,13.4851,,,,10.177,9.949
86279327,,,,,,,"Sector 20, Sector 21",2.0,38.0474625,141.417752586677,63.4887072339279,45.2572282717226,119.716023068005,3165.0,4.89885,0.214,0.235,8.88464,11.5373,14.358,12.9141,13.9192,12.3125,11.6727,9.233,8.942
408416746,,,,,,,Sector  8,1.0,17.038,145.648638552046,-19.2347604726867,-30.9424810967942,155.346832351474,3479.0,4.8309,,0.395397007465363,6.24878,9.75311,11.967,10.899,,,,7.723,7.495
198485881,,,,,,,"Sector 14, Sector 20, Sector 21, Sector 26",4.0,57.7911,194.740339322609,77.6615804430382,66.6235390847149,121.388388510701,3446.0,4.89707,,0.33,8.80123,12.9672,15.211,14.1615,,,,10.89,10.673
285007837,,,,,,,Sector 21,1.0,53.3145447,137.211516244758,54.1217653646138,35.8061030742825,122.027309345146,3174.0,4.90977,0.283,0.288,9.41337,12.2327,15.088,13.6024,14.4227,12.8949,11.9822,9.953,9.671
468401372,,,,,,,Sector 19,1.0,36.9966,75.52111571298,68.4570252489787,45.3949955474716,82.487587124611,3368.0,4.81177,0.369,0.358,5.67934,11.4524,13.854,12.6934,,,,9.255,9.031
259962054,,,,,,,"Sector  1, Sector  2, Sector  3",3.0,24.7894,43.018707574081,-67.6876590144493,-72.1418454433165,334.844836879595,3209.0,5.01096,0.211,0.233,16.0876,12.2423,15.017,13.588,,,,10.053,9.722
392365135,,,,,,,Sector 21,1.0,18.1954,155.966088349698,43.8925356341235,31.2886490133806,140.369921156689,2994.0,5.02135,0.161,0.196,16.9818,12.0111,15.75,13.4926,14.6711,13.0662,11.7065,9.431,9.127
29168887,,,,,,,Sector 21,1.0,10.085,135.135318538728,46.5864165529406,28.2695903206763,123.578482880309,3131.0,5.00718,0.194,0.22,15.7731,10.4168,13.314,11.8005,12.9527,11.2125,11.1421,8.031,7.741
68480164,,,,,,,Sector 26,1.0,23.743,280.655044973402,31.1849335002103,54.047612408702,285.629598268873,3128.0,5.10182,0.146,0.186,25.5525,12.8731,16.03,14.265,,,,10.584,10.273
199004881,,,,,,,Sector 16,1.0,36.4148,333.055121620913,43.0441044751213,49.2852494736584,357.15917469654,3197.0,5.03116,0.132,0.176,17.8663,13.2446,16.82,14.594,,,,10.989,10.705
9143297,,,,,,,Sector  2,1.0,27.991,351.121057360682,-18.5207234937197,-13.4867263235772,344.453490363922,3319.0,4.84582,0.273,0.28,6.74066,11.1064,13.637,12.3783,13.1251,11.7349,11.2881,8.965,8.69
243641947,,,,,,,Sector 11,1.0,72.811,207.474906078678,-46.0662382874778,-32.2346422971401,223.302963995148,3375.0,4.85254,,0.37,6.97695,13.2486,15.16,14.4858,,,,11.099,10.819
77156829,,,,,,,"Sector  4, Sector  5",2.0,19.8782,68.1776452049697,-39.7867076079512,-60.5618333430705,54.4651996487693,3563.0,4.88565,,0.338189989328384,8.28746,10.4276,12.6,11.5403,,,,8.501,8.264
67646988,,,,,,,Sector 21,1.0,33.928,147.769065269796,35.9692960208368,21.5422277323533,137.394492878815,3138.0,4.91873,,0.31,9.87196,12.4368,15.436,13.833,14.727,13.5432,12.1537,9.96,9.69
109842910,,,,,,,Sector 14,1.0,48.2903,291.00892502436,29.8632683456977,51.1573156724822,299.71733529596,3519.0,4.75358,0.399,0.384,4.29392,11.466,14.49,12.61,,,,9.414,9.178
328181391,,,,,,,Sector 19,1.0,37.6964,78.347303352616,52.4082258762305,29.2969907954731,81.8778238296413,3380.0,4.91464,0.291,0.294,9.65977,12.2361,14.684,13.468,,,,10.135,9.886
284113347,,,,,,,Sector 20,1.0,16.0331,119.594726940346,49.6647855060359,28.3915165894896,111.306794972715,3234.0,4.89186,0.263,0.273,8.5627,10.4452,13.148,11.7653,12.6663,11.1493,11.1077,8.174,7.847
407582876,,,,,,,Sector 21,1.0,32.9071,145.299871479061,33.25164707189,18.2823769324143,136.392696073207,3073.0,5.10214,0.138,0.181,25.5934,13.657,17.47,15.0984,16.0983,14.3563,13.3941,11.267,10.984
180671104,,,,,,,"Sector 22, Sector 23",2.0,28.0521,200.408796785289,39.9969321460703,44.1047468758108,179.156571813495,3178.0,4.98125,0.173,0.205,13.7624,12.3802,15.215,13.7461,14.5834,13.2986,12.1642,10.012,9.767
394244919,,,,,,,"Sector  1, Sector 13",2.0,31.112,27.4311277523795,-80.641090908408,-69.2393255753086,294.028371219621,2970.0,5.08168,0.118,0.166,23.1087,13.8156,17.18,15.3457,,,,11.112,10.721
288516176,,,,,,,"Sector 14, Sector 15, Sector 17, Sector 18, Sector 19, Sector 20, Sector 21, Sector 22, Sector 23, Sector 24, Sector 25, Sector 26",12.0,24.1162,273.701536329632,78.7194926089227,77.7971479524603,86.5747838645823,3289.0,4.94344,0.206,0.229,11.2595,11.6132,14.189,12.9031,14.8776,12.3341,11.6539,9.424,9.145
408203470,,,,,,,"Sector 14, Sector 15",2.0,89.21544,307.211334363466,33.4144668288502,50.3251686706463,322.249423546196,3446.0,4.83941,,0.38621,6.52414,12.9984,15.73,14.1954,,,,10.972,10.754
453447238,,,,,,,Sector 21,1.0,34.7558,148.383747419582,51.2522175446889,35.8056435416194,131.087033775379,3458.0,4.81954,0.4,0.384,5.90283,11.1747,13.414,12.3553,12.9409,11.7543,11.4579,9.188,8.955
